frame,time_s,oid,class,point_type,x,y,x_norm,y_norm,bbox_w,bbox_h,bbox_w_norm,bbox_h_norm,speed_px_per_s
10,0.4166666666666667,2,player,foot,2434.361328125,452.236083984375,0.6339482625325521,0.2093685574001736,59.0,146.0,0.015364583333333333,0.06759259259259259,
10,0.4166666666666667,3,ball,center,1196.0,502.0,0.31145833333333334,0.2324074074074074,30.0,32.0,0.0078125,0.014814814814814815,102.52804494381036
11,0.4583333333333333,0,player,foot,1100.984375,563.3604736328125,0.28671468098958336,0.26081503408926504,120.0,282.0,0.03125,0.13055555555555556,
11,0.4583333333333333,1,player,foot,1369.064453125,391.9717712402344,0.3565272013346354,0.18146841261121963,70.0,155.0,0.018229166666666668,0.07175925925925926,
11,0.4583333333333333,2,player,foot,2426.90283203125,452.1652526855469,0.6320059458414714,0.20933576513219762,63.0,147.0,0.01640625,0.06805555555555555,
11,0.4583333333333333,3,ball,center,1191.5,507.0,0.31028645833333335,0.23472222222222222,33.0,32.0,0.00859375,0.014814814814814815,161.44348856488452
12,0.5,0,player,foot,1099.18896484375,562.65234375,0.2862471262613932,0.26048719618055555,144.0,283.0,0.0375,0.1310185185185185,
12,0.5,1,player,foot,1369.6451416015625,391.9802551269531,0.3566784222920736,0.18147234033655238,66.0,154.0,0.0171875,0.0712962962962963,
12,0.5,2,player,foot,2421.531982421875,452.1156921386719,0.6306072870890299,0.2093128204345703,66.0,147.0,0.0171875,0.06805555555555555,
12,0.5,3,ball,center,1185.5,513.0,0.3087239583333333,0.2375,33.0,32.0,0.00859375,0.014814814814814815,203.64675298172568
13,0.5416666666666666,0,player,foot,1098.832275390625,562.1566162109375,0.28615423838297527,0.26025769269024884,167.0,280.0,0.04348958333333333,0.12962962962962962,
13,0.5416666666666666,1,player,foot,1370.0516357421875,391.6861572265625,0.3567842801411947,0.18133618390118633,66.0,154.0,0.0171875,0.0712962962962963,
13,0.5416666666666666,2,player,foot,2417.7724609375,452.08099365234375,0.6296282450358073,0.20929675632052952,67.0,147.0,0.017447916666666667,0.06805555555555555,
13,0.5416666666666666,3,ball,center,1180.5,518.0,0.307421875,0.23981481481481481,37.0,32.0,0.009635416666666667,0.014814814814814815,169.7056274847714
14,0.5833333333333334,0,player,foot,1098.882568359375,561.8096313476562,0.2861673355102539,0.26009705154984086,159.0,280.0,0.04140625,0.12962962962962962,
14,0.5833333333333334,1,player,foot,1370.336181640625,391.48028564453125,0.35685838063557945,0.18124087298357927,60.0,154.0,0.015625,0.0712962962962963,
14,0.5833333333333334,2,player,foot,2414.8408203125,452.05670166015625,0.6288647969563802,0.20928551002785012,71.0,147.0,0.018489583333333334,0.06805555555555555,
14,0.5833333333333334,3,ball,center,1175.0,519.5,0.3059895833333333,0.24050925925925926,34.0,35.0,0.008854166666666666,0.016203703703703703,136.82105101189654
15,0.625,0,player,foot,1098.017822265625,561.5667114257812,0.2859421412150065,0.25998458862304685,173.0,275.0,0.04505208333333333,0.12731481481481483,
15,0.625,1,player,foot,1370.5352783203125,391.336181640625,0.35691022872924805,0.181174158166956,58.0,154.0,0.015104166666666667,0.0712962962962963,
15,0.625,2,player,foot,2413.6884765625,452.0397033691406,0.6285647074381511,0.20927764044867622,73.0,146.0,0.019010416666666665,0.06759259259259259,
15,0.625,3,ball,center,1170.5,523.0,0.3048177083333333,0.24212962962962964,33.0,34.0,0.00859375,0.01574074074074074,57.82619770160407
16,0.6666666666666666,0,player,foot,1098.612548828125,561.3966674804688,0.2860970179239909,0.2599058645742911,179.0,269.0,0.046614583333333334,0.12453703703703704,
16,0.6666666666666666,1,player,foot,1370.9747314453125,391.2353515625,0.3570246696472168,0.18112747757523148,56.0,155.0,0.014583333333333334,0.07175925925925926,
16,0.6666666666666666,2,player,foot,2414.23193359375,452.0278015136719,0.6287062327067058,0.20927213033040365,76.0,148.0,0.019791666666666666,0.06851851851851852,
16,0.6666666666666666,3,ball,center,1163.5,527.0,0.30299479166666665,0.2439814814814815,37.0,34.0,0.009635416666666667,0.01574074074074074,193.49418595916518
17,0.7083333333333334,0,player,foot,1099.9287109375,560.9776611328125,0.28643976847330727,0.25971188015407987,176.0,261.0,0.04583333333333333,0.12083333333333333,
17,0.7083333333333334,1,player,foot,1371.2823486328125,391.16473388671875,0.3571047782897949,0.18109478420681424,54.0,156.0,0.0140625,0.07222222222222222,
17,0.7083333333333334,2,player,foot,2418.51220703125,452.01947021484375,0.6298208872477213,0.20926827324761285,70.0,148.0,0.018229166666666668,0.06851851851851852,
17,0.7083333333333334,3,ball,center,1162.0,531.5,0.3026041666666667,0.24606481481481482,36.0,29.0,0.009375,0.013425925925925926,113.84199576606166
18,0.75,0,player,foot,1100.550048828125,558.2843627929688,0.28660157521565754,0.25846498277452257,211.0,253.0,0.054947916666666666,0.11712962962962963,
18,0.75,1,player,foot,1371.4976806640625,391.11529541015625,0.3571608543395996,0.1810718960232205,54.0,156.0,0.0140625,0.07222222222222222,
18,0.75,2,player,foot,2422.1083984375,452.0136413574219,0.6307573954264323,0.20926557470251012,63.0,149.0,0.01640625,0.06898148148148148,
18,0.75,3,ball,center,1170.5,528.0,0.3048177083333333,0.24444444444444444,39.0,34.0,0.01015625,0.01574074074074074,220.61731573020282
19,0.7916666666666666,0,player,foot,1100.68505859375,555.4990234375,0.2866367340087891,0.2571754738136574,165.0,252.0,0.04296875,0.11666666666666667,
19,0.7916666666666666,1,player,foot,1371.6483154296875,390.78070068359375,0.3572000821431478,0.18091699105721934,54.0,155.0,0.0140625,0.07175925925925926,
19,0.7916666666666666,2,player,foot,2425.975830078125,452.3095703125,0.631764539082845,0.20940257884837962,62.0,150.0,0.016145833333333335,0.06944444444444445,
19,0.7916666666666666,3,ball,center,1196.5,508.5,0.31158854166666666,0.23541666666666666,33.0,31.0,0.00859375,0.014351851851851852,780.0
20,0.8333333333333334,0,player,foot,1100.4794921875,553.2493286132812,0.2865832010904948,0.25613394843207465,146.0,251.0,0.03802083333333333,0.1162037037037037,
20,0.8333333333333334,1,player,foot,1372.0538330078125,390.2464904785156,0.35730568567911786,0.1806696715178313,54.0,155.0,0.0140625,0.07175925925925926,
20,0.8333333333333334,2,player,foot,2428.983154296875,452.5167236328125,0.6325476964314779,0.20949848316333913,55.0,150.0,0.014322916666666666,0.06944444444444445,
20,0.8333333333333334,3,ball,center,1223.0,495.0,0.3184895833333333,0.22916666666666666,32.0,30.0,0.008333333333333333,0.013888888888888888,713.7730731822264
21,0.875,0,player,foot,1100.6356201171875,551.37451171875,0.2866238594055176,0.2552659776475694,135.0,253.0,0.03515625,0.11712962962962963,
21,0.875,1,player,foot,1372.337646484375,389.87255859375,0.35737959543863934,0.18049655490451388,55.0,155.0,0.014322916666666666,0.07175925925925926,
21,0.875,2,player,foot,2431.5380859375,452.3616943359375,0.6332130432128906,0.2094267103407118,55.0,149.0,0.014322916666666666,0.06898148148148148,
21,0.875,3,ball,center,1245.5,482.5,0.3243489583333333,0.22337962962962962,31.0,29.0,0.008072916666666667,0.013425925925925926,617.7378084592201
22,0.9166666666666666,0,player,foot,1100.89501953125,550.0621337890625,0.286691411336263,0.2546583952727141,138.0,255.0,0.0359375,0.11805555555555555,
22,0.9166666666666666,1,player,foot,1372.3863525390625,389.6108093261719,0.35739227930704753,0.18037537468804254,56.0,155.0,0.014583333333333334,0.07175925925925926,
22,0.9166666666666666,2,player,foot,2433.776611328125,452.55316162109375,0.6337959925333659,0.2095153526023582,52.0,150.0,0.013541666666666667,0.06944444444444445,
22,0.9166666666666666,3,ball,center,1268.0,473.5,0.3302083333333333,0.21921296296296297,30.0,27.0,0.0078125,0.0125,581.5977991705265
23,0.9583333333333334,0,player,foot,1100.926513671875,549.4434814453125,0.2866996129353841,0.25437198215060763,135.0,258.0,0.03515625,0.11944444444444445,
23,0.9583333333333334,1,player,foot,1372.2703857421875,389.4275817871094,0.3573620796203613,0.18029054712366174,56.0,155.0,0.014583333333333334,0.07175925925925926,
23,0.9583333333333334,2,player,foot,2435.343505859375,452.68719482421875,0.6342040379842122,0.2095774050112124,52.0,150.0,0.013541666666666667,0.06944444444444445,
23,0.9583333333333334,3,ball,center,1289.5,467.0,0.3358072916666667,0.2162037037037037,31.0,30.0,0.008072916666666667,0.013888888888888888,539.0658586851888
24,1.0,0,player,foot,1103.6485595703125,549.3104248046875,0.2874084790547689,0.254310381854022,128.0,258.0,0.03333333333333333,0.11944444444444445,
24,1.0,1,player,foot,1372.189208984375,388.9992980957031,0.357340939839681,0.1800922676368996,57.0,154.0,0.01484375,0.0712962962962963,
24,1.0,2,player,foot,2436.590576171875,452.78106689453125,0.6345287958780924,0.20962086430302374,50.0,150.0,0.013020833333333334,0.06944444444444445,
24,1.0,3,ball,center,1310.0,463.5,0.3411458333333333,0.21458333333333332,32.0,29.0,0.008333333333333333,0.013425925925925926,499.11922423405014
25,1.0416666666666667,0,player,foot,1103.75390625,549.8173217773438,0.2874359130859375,0.25454505637839986,109.0,260.0,0.028385416666666666,0.12037037037037036,
25,1.0416666666666667,1,player,foot,1371.8323974609375,388.3995056152344,0.35724802017211915,0.1798145859329789,57.0,153.0,0.01484375,0.07083333333333333,
25,1.0416666666666667,2,player,foot,2437.91357421875,452.5467529296875,0.6348733266194662,0.20951238561559607,49.0,149.0,0.012760416666666666,0.06898148148148148,
25,1.0416666666666667,3,ball,center,1329.5,460.5,0.34622395833333336,0.21319444444444444,29.0,29.0,0.007552083333333333,0.013425925925925926,473.5060717667726
26,1.0833333333333333,0,player,foot,1098.427734375,551.0721435546875,0.28604888916015625,0.2551259923864294,107.0,263.0,0.027864583333333335,0.12175925925925926,
26,1.0833333333333333,1,player,foot,1370.982666015625,387.67962646484375,0.35702673594156903,0.17948130854853878,58.0,151.0,0.015104166666666667,0.0699074074074074,
26,1.0833333333333333,2,player,foot,2438.689453125,452.3827209472656,0.6350753784179688,0.20943644488299334,49.0,149.0,0.012760416666666666,0.06898148148148148,
26,1.0833333333333333,3,ball,center,1350.0,459.0,0.3515625,0.2125,30.0,28.0,0.0078125,0.012962962962962963,493.31531498626714
27,1.125,0,player,foot,1098.2994384765625,550.4505004882812,0.28601547876993816,0.25483819467050056,108.0,258.0,0.028125,0.11944444444444445,
27,1.125,1,player,foot,1369.1878662109375,387.17572021484375,0.3565593401590983,0.17924801861798323,58.0,150.0,0.015104166666666667,0.06944444444444445,
27,1.125,2,player,foot,2439.6826171875,451.9678955078125,0.6353340148925781,0.2092443960684317,48.0,148.0,0.0125,0.06851851851851852,
27,1.125,3,ball,center,1369.5,461.0,0.356640625,0.21342592592592594,31.0,28.0,0.008072916666666667,0.012962962962962963,470.4550988139038
28,1.1666666666666667,0,player,foot,1085.4595947265625,551.8153076171875,0.2826717694600423,0.255470049822772,112.0,262.0,0.029166666666666667,0.12129629629629629,
28,1.1666666666666667,1,player,foot,1368.531494140625,386.52301025390625,0.3563884099324544,0.17894583808051215,58.0,149.0,0.015104166666666667,0.06898148148148148,
28,1.1666666666666667,2,player,foot,2439.927734375,451.9775390625,0.6353978474934896,0.20924886067708334,48.0,149.0,0.0125,0.06898148148148148,
28,1.1666666666666667,3,ball,center,1386.0,464.5,0.3609375,0.2150462962962963,28.0,29.0,0.007291666666666667,0.013425925925925926,404.811067042392
29,1.2083333333333333,0,player,foot,1071.6717529296875,554.270751953125,0.27908118565877277,0.25660682960792824,118.0,267.0,0.030729166666666665,0.12361111111111112,
29,1.2083333333333333,1,player,foot,1368.9720458984375,386.3660888671875,0.3565031369527181,0.17887318929036458,58.0,147.0,0.015104166666666667,0.06805555555555555,
29,1.2083333333333333,2,player,foot,2439.94921875,451.9842834472656,0.6354034423828125,0.20925198307743778,48.0,149.0,0.0125,0.06898148148148148,
29,1.2083333333333333,3,ball,center,1402.5,462.5,0.365234375,0.21412037037037038,29.0,29.0,0.007552083333333333,0.013425925925925926,398.89848332627184
30,1.25,0,player,foot,1059.3203125,556.28955078125,0.27586466471354165,0.25754145869502315,122.0,265.0,0.03177083333333333,0.12268518518518519,
30,1.25,1,player,foot,1368.680419921875,385.9562683105469,0.3564271926879883,0.17868345755117912,60.0,144.0,0.015625,0.06666666666666667,
30,1.25,2,player,foot,2439.96435546875,451.989013671875,0.6354073842366537,0.2092541729962384,48.0,149.0,0.0125,0.06898148148148148,
30,1.25,3,ball,center,1412.5,455.5,0.3678385416666667,0.21087962962962964,27.0,29.0,0.00703125,0.013425925925925926,83.505099020958
31,1.2916666666666667,0,player,foot,1050.82421875,557.7026977539062,0.27365214029947915,0.2581956934045862,125.0,263.0,0.032552083333333336,0.12175925925925926,
31,1.2916666666666667,1,player,foot,1368.7763671875,385.66937255859375,0.35645217895507814,0.1785506354437934,60.0,139.0,0.015625,0.06435185185185185,
31,1.2916666666666667,2,player,foot,2440.574951171875,451.69232177734375,0.6355663935343424,0.20911681563765913,48.0,148.0,0.0125,0.06851851851851852,
31,1.2916666666666667,3,ball,center,1425.0,448.5,0.37109375,0.2076388888888889,26.0,29.0,0.0067708333333333336,0.013425925925925926,343.83717076546566
32,1.3333333333333333,0,player,foot,1044.576904296875,558.69189453125,0.2720252354939779,0.25865365487557873,124.0,263.0,0.03229166666666667,0.12175925925925926,
32,1.3333333333333333,1,player,foot,1369.743408203125,385.46856689453125,0.35670401255289713,0.17845766985857928,61.0,135.0,0.015885416666666666,0.0625,
32,1.3333333333333333,2,player,foot,2441.90234375,451.484619140625,0.6359120686848958,0.2090206570095486,48.0,148.0,0.0125,0.06851851851851852,
32,1.3333333333333333,3,ball,center,1436.0,442.0,0.37395833333333334,0.20462962962962963,26.0,26.0,0.0067708333333333336,0.012037037037037037,306.6463761403353
33,1.375,0,player,foot,1040.5037841796875,559.3843383789062,0.270964527130127,0.25897423073097514,109.0,264.0,0.028385416666666666,0.12222222222222222,
33,1.375,1,player,foot,1371.17041015625,385.3280029296875,0.3570756276448568,0.1783925939489294,60.0,131.0,0.015625,0.060648148148148145,
33,1.375,2,player,foot,2443.731689453125,451.3392333984375,0.6363884607950846,0.20895334879557292,48.0,148.0,0.0125,0.06851851851851852,
33,1.375,3,ball,center,1446.0,440.0,0.3765625,0.2037037037037037,26.0,28.0,0.0067708333333333336,0.012962962962962963,244.75293665245366
34,1.4166666666666667,0,player,foot,1037.95263671875,559.8690185546875,0.2703001658121745,0.2591986197012442,94.0,268.0,0.024479166666666666,0.12407407407407407,
34,1.4166666666666667,1,player,foot,1372.3193359375,384.9295959472656,0.3573748270670573,0.17820814627188222,58.0,128.0,0.015104166666666667,0.05925925925925926,
34,1.4166666666666667,2,player,foot,2445.912109375,451.23748779296875,0.6369562784830729,0.20890624434859664,47.0,149.0,0.012239583333333333,0.06898148148148148,
34,1.4166666666666667,3,ball,center,1458.5,438.5,0.37981770833333334,0.20300925925925925,27.0,25.0,0.00703125,0.011574074074074073,302.1522794883401
35,1.4583333333333333,0,player,foot,1036.1668701171875,560.2083129882812,0.26983512242635094,0.25935570045753764,100.0,273.0,0.026041666666666668,0.12638888888888888,
35,1.4583333333333333,1,player,foot,1363.2235107421875,384.3507080078125,0.35500612258911135,0.1779401425962095,63.0,127.0,0.01640625,0.0587962962962963,
35,1.4583333333333333,2,player,foot,2448.78857421875,451.166259765625,0.6377053578694661,0.20887326841001158,49.0,149.0,0.012760416666666666,0.06898148148148148,
35,1.4583333333333333,3,ball,center,1467.0,442.0,0.38203125,0.20462962962962963,24.0,28.0,0.00625,0.012962962962962963,220.61731573020282
36,1.5,0,player,foot,1034.916748046875,560.44580078125,0.2695095698038737,0.25946564850983794,112.0,278.0,0.029166666666666667,0.1287037037037037,
36,1.5,1,player,foot,1357.156494140625,384.2455139160156,0.3534261703491211,0.177891441627785,70.0,126.0,0.018229166666666668,0.058333333333333334,
36,1.5,2,player,foot,2451.552001953125,451.4163818359375,0.6384250005086263,0.20898906566478587,53.0,150.0,0.013802083333333333,0.06944444444444445,
36,1.5,3,ball,center,1476.5,443.0,0.38450520833333335,0.2050925925925926,29.0,24.0,0.007552083333333333,0.011111111111111112,229.2596780945136
37,1.5416666666666667,0,player,foot,1034.041748046875,560.612060546875,0.26928170522054035,0.25954262062355327,117.0,282.0,0.03046875,0.13055555555555556,
37,1.5416666666666667,1,player,foot,1353.20947265625,384.171875,0.35239830017089846,0.17785734953703702,78.0,128.0,0.0203125,0.05925925925925926,
37,1.5416666666666667,2,player,foot,2454.83642578125,451.5914611816406,0.6392803192138672,0.20907012091742622,57.0,150.0,0.01484375,0.06944444444444445,
37,1.5416666666666667,3,ball,center,1483.5,439.0,0.386328125,0.20324074074074075,27.0,26.0,0.00703125,0.012037037037037037,193.49418595916518
38,1.5833333333333333,0,player,foot,1033.1292724609375,560.7284545898438,0.2690440813700358,0.2595965067545573,126.0,279.0,0.0328125,0.12916666666666668,
38,1.5833333333333333,1,player,foot,1368.7467041015625,384.1203308105469,0.3564444541931152,0.1778334864863643,87.0,131.0,0.02265625,0.060648148148148145,
38,1.5833333333333333,2,player,foot,2458.485595703125,451.7140197753906,0.6402306238810221,0.2091268610071253,58.0,150.0,0.015104166666666667,0.06944444444444445,
38,1.5833333333333333,3,ball,center,1491.0,434.5,0.38828125,0.2011574074074074,26.0,29.0,0.0067708333333333336,0.013425925925925926,209.91426821443082
39,1.625,0,player,foot,1029.9404296875,562.0098876953125,0.26821365356445315,0.2601897628219039,123.0,281.0,0.03203125,0.1300925925925926,
39,1.625,1,player,foot,1379.6226806640625,384.084228515625,0.3592767397562663,0.1778167724609375,86.0,130.0,0.022395833333333334,0.06018518518518518,
39,1.625,2,player,foot,2464.93994140625,452.6997985839844,0.6419114430745443,0.20958324008517795,60.0,152.0,0.015625,0.07037037037037037,
39,1.625,3,ball,center,1498.0,431.0,0.39010416666666664,0.19953703703703704,24.0,28.0,0.00625,0.012962962962962963,187.82971010998233
40,1.6666666666666667,0,player,foot,1022.4583129882812,563.5069580078125,0.26626518567403157,0.26088285092954283,120.0,279.0,0.03125,0.12916666666666668,
40,1.6666666666666667,1,player,foot,1387.535888671875,384.0589599609375,0.36133747100830077,0.17780507405598958,87.0,131.0,0.02265625,0.060648148148148145,
40,1.6666666666666667,2,player,foot,2469.7578125,453.68988037109375,0.6431660970052083,0.21004161128291376,60.0,151.0,0.015625,0.0699074074074074,
40,1.6666666666666667,3,ball,center,1505.5,429.5,0.39205729166666664,0.1988425925925926,27.0,29.0,0.00703125,0.013425925925925926,183.56470248934028
41,1.7083333333333333,0,player,foot,1013.0208740234375,565.1549072265625,0.26380751927693685,0.26164579038266783,102.0,278.0,0.0265625,0.1287037037037037,
41,1.7083333333333333,1,player,foot,1393.97509765625,384.0412902832031,0.3630143483479818,0.17779689364963108,86.0,133.0,0.022395833333333334,0.06157407407407407,
41,1.7083333333333333,2,player,foot,2472.83056640625,454.3829345703125,0.6439662933349609,0.21036246970847802,62.0,149.0,0.016145833333333335,0.06898148148148148,
41,1.7083333333333333,3,ball,center,1511.5,430.5,0.39361979166666666,0.19930555555555557,25.0,27.0,0.006510416666666667,0.0125,145.98630072715727
42,1.75,0,player,foot,1001.9146728515625,566.908447265625,0.26091527938842773,0.2624576144748264,107.0,280.0,0.027864583333333335,0.12962962962962962,
42,1.75,1,player,foot,1399.08251953125,384.0289001464844,0.3643444061279297,0.17779115747522425,79.0,130.0,0.020572916666666666,0.06018518518518518,
42,1.75,2,player,foot,2475.28125,455.76806640625,0.6446044921875,0.21100373444733797,63.0,151.0,0.01640625,0.0699074074074074,
42,1.75,3,ball,center,1519.0,430.5,0.39557291666666666,0.19930555555555557,26.0,25.0,0.0067708333333333336,0.011574074074074073,180.0
43,1.7916666666666667,0,player,foot,989.9403076171875,567.8359375,0.2577969551086426,0.26288700810185184,118.0,280.0,0.030729166666666665,0.12962962962962962,
43,1.7916666666666667,1,player,foot,1402.5078125,384.0202331542969,0.36523640950520836,0.17778714497884116,66.0,131.0,0.0171875,0.060648148148148145,
43,1.7916666666666667,2,player,foot,2476.9970703125,456.7376403808594,0.6450513203938802,0.2114526112874349,72.0,150.0,0.01875,0.06944444444444445,
43,1.7916666666666667,3,ball,center,1526.0,429.0,0.39739583333333334,0.1986111111111111,26.0,26.0,0.0067708333333333336,0.012037037037037037,171.81385275931623
44,1.8333333333333333,0,player,foot,975.2581787109375,568.78515625,0.25397348403930664,0.2633264612268518,124.0,284.0,0.03229166666666667,0.13148148148148148,
44,1.8333333333333333,1,player,foot,1404.4554443359375,384.01416015625,0.36574360529581706,0.1777843334056713,70.0,133.0,0.018229166666666668,0.06157407407407407,
44,1.8333333333333333,2,player,foot,2478.197998046875,457.1163330078125,0.6453640619913737,0.21162793194806134,72.0,148.0,0.01875,0.06851851851851852,
44,1.8333333333333333,3,ball,center,1532.0,426.0,0.39895833333333336,0.19722222222222222,26.0,26.0,0.0067708333333333336,0.012037037037037037,160.99689437998487
45,1.875,0,player,foot,968.5807495117188,568.5496215820312,0.2522345701853434,0.26321741739908855,129.0,284.0,0.03359375,0.13148148148148148,
45,1.875,1,player,foot,1406.1187744140625,384.0099182128906,0.3661767641703288,0.17778236954300491,63.0,133.0,0.01640625,0.06157407407407407,
45,1.875,2,player,foot,2479.03857421875,457.38140869140625,0.6455829620361329,0.21175065217194733,72.0,147.0,0.01875,0.06805555555555555,
45,1.875,3,ball,center,1537.5,424.0,0.400390625,0.1962962962962963,25.0,26.0,0.006510416666666667,0.012037037037037037,69.23556511333247
